Designator,Mid X,Mid Y,Rotation,Layer
D1,133.35,-57.15,270.0,bottom
D2,152.4,-57.15,270.0,bottom
D3,171.45,-57.15,270.0,bottom
D4,133.35,-76.2,270.0,bottom
D5,152.4,-76.2,270.0,bottom
D6,171.45,-76.2,270.0,bottom
D7,133.35,-95.25,270.0,bottom
D8,152.4,-95.25,270.0,bottom
D9,171.45,-95.25,270.0,bottom
S1,123.825,-66.675,0.0,top
S2,142.875,-66.675,0.0,top
S3,161.925,-66.675,0.0,top
S4,123.825,-85.725,0.0,top
S5,142.875,-85.725,0.0,top
S6,161.925,-85.725,0.0,top
S7,123.825,-104.775,0.0,top
S8,142.875,-104.775,0.0,top
S9,161.925,-104.775,0.0,top
U1,185.935,-83.835,0.0,top
